date,Unemployed (in thousands)
1/1/2002,8182
2/1/2002,8215
3/1/2002,8304
4/1/2002,8599
5/1/2002,8399
6/1/2002,8393
7/1/2002,8390
8/1/2002,8304
9/1/2002,8251
10/1/2002,8307
11/1/2002,8520
12/1/2002,8640
1/1/2003,8520
2/1/2003,8618
3/1/2003,8588
4/1/2003,8842
5/1/2003,8957
6/1/2003,9266
7/1/2003,9011
8/1/2003,8896
9/1/2003,8921
10/1/2003,8732
11/1/2003,8576
12/1/2003,8317
1/1/2004,8370
2/1/2004,8167
3/1/2004,8491
4/1/2004,8170
5/1/2004,8212
6/1/2004,8286
7/1/2004,8136
8/1/2004,7990
9/1/2004,7927
10/1/2004,8061
11/1/2004,7932
12/1/2004,7934
1/1/2005,7784
2/1/2005,7980
3/1/2005,7737
4/1/2005,7672
5/1/2005,7651
6/1/2005,7524
7/1/2005,7406
8/1/2005,7345
9/1/2005,7553
10/1/2005,7453
11/1/2005,7566
12/1/2005,7279
1/1/2006,7064
2/1/2006,7184
3/1/2006,7072
4/1/2006,7120
5/1/2006,6980
6/1/2006,7001
7/1/2006,7175
8/1/2006,7091
9/1/2006,6847
10/1/2006,6727
11/1/2006,6872
12/1/2006,6762
1/1/2007,7116
2/1/2007,6927
3/1/2007,6731
4/1/2007,6850
5/1/2007,6766
6/1/2007,6979
7/1/2007,7149
8/1/2007,7067
9/1/2007,7170
10/1/2007,7237
11/1/2007,7240
12/1/2007,7645
1/1/2008,7678
2/1/2008,7491
3/1/2008,7816
4/1/2008,7631
5/1/2008,8395
6/1/2008,8578
7/1/2008,8950
8/1/2008,9450
9/1/2008,9501
10/1/2008,10083
11/1/2008,10544
12/1/2008,11299
1/1/2009,12049
2/1/2009,12860
3/1/2009,13389
4/1/2009,13796
5/1/2009,14505
6/1/2009,14727
7/1/2009,14646
8/1/2009,14861
9/1/2009,15012
10/1/2009,15421
11/1/2009,15227
12/1/2009,15124
1/1/2010,14953
2/1/2010,15039
3/1/2010,15128
4/1/2010,15221
5/1/2010,14876
6/1/2010,14517
7/1/2010,14609
8/1/2010,14735
9/1/2010,14574
10/1/2010,14636
11/1/2010,15104
12/1/2010,14393
1/1/2011,13919
2/1/2011,13751
3/1/2011,13628
4/1/2011,13792
5/1/2011,13892
6/1/2011,14024
7/1/2011,13908
8/1/2011,13920
9/1/2011,13897
10/1/2011,13759
11/1/2011,13323
12/1/2011,13097
1/1/2012,12758
2/1/2012,12806
3/1/2012,12673
4/1/2012,12500
5/1/2012,12720
6/1/2012,12749
7/1/2012,12794
